,,,,,,,
,,,,,,,
卡片名稱 (編號),建議 數量,發球,攔網,接球,托球,攻擊,此牌組中的核心原則/定位
"及川 徹 (HV-P01-033 ""頂"")",10,5,0,0,1,0,• 核心：懲罰手牌多 (>=4) 的對手，迫使其棄牌。 • 5點發球也是起手壓力點。
"岩泉 一 (HV-P01-035 ""S"")",8,1,3,1,0,2,• 核心：懲罰手牌少 (<=4) 的對手，封鎖其技能補牌。 • 自身+2攻擊力可達4點，是主要攻擊手之一。
京谷 賢太郎 (HV-P01-042),1,5,0,4,0,3,• 高素質打手。5點發球 和 3點攻擊。
渡 親治 (HV-P01-039),10,-,-,5,1,0,防守基石。基礎接球 5 點。面對6~7點的中等攻擊時，開啟技能可將接球升至 6 點並抽 1 張卡，達成「無損防守」
"国見 英 (HV-P01-041 ""R"")",1,1,0,5,0,0,• 核心：終結者。當對手手牌被壓低 (<=3) 時登場。 • [虛攻(4)] 能穿透攔網，穩定得分。
松川 一静 (HV-P01-037),2,1,3,1,0,2,針對性解牌。只有在對手打出 8點以上 的毀滅性攻擊時使用。支付 1 Guts 強制跳過攔網階段並 Buff 接球 +3，讓接球端輕鬆接下核彈攻擊。
花巻 貴大 (HV-P01-038),0,1,2,5,0,2,• 高素質接球手 (5點)。
及川 徹 (HV-PR-007),0,4,2,0,2,1,• 穩定的發球手 (4點) 和托球手 (2點)。
岩泉 一 (HV-PR-008),0,4,1,4,0,3,• 高素質萬用卡 (4發球/4接球/3攻擊)。
金田一 勇太郎 (HV-P01-036),0,3,3,2,0,3,• 穩定的攔網/攻擊手 (3攔/3攻)。
矢巾 秀 (HV-P01-040),0,2,1,3,2,2,• 備用托球手 (2點)。
及川・岩泉 (HV-PR-009),0,5,0,0,1,0,• 發球壓力點 (5點)。
卡片名稱 (編號),建議 數量,可用階段,,,,,此牌組中的核心原則/定位
俺も思った☆ (HV-P01-087),5,發球 / 托球,,,,,• 核心：手牌干擾。 • 抽1卡不虧手牌。
お前達は 強いよ (HV-P01-088),2,接球,,,,,• 防守與抽濾。輔助接球。
入畑 伸照(HV-P01-085),1,抽牌,,,,,技能：抽1張卡。 若從自己的場上支付合計8點Guts則可使用。 這個回合中，自己的<青葉城西>角色登場時，將該角色任意1個點數+1。
,40,,,,,,
