卡片名稱,卡片編號,數量
孤爪 研磨,HV-D02-001,3
黑尾 鐵朗,HV-D02-002,3
夜久 衛輔,HV-D02-003,3
灰羽 列夫,HV-D02-004,3
海 信行,HV-D02-005,3
山本 猛虎,HV-D02-006,3
福永 招平,HV-D02-007,3
犬岡 走,HV-D02-008,3
芝山 優生,HV-D02-009,3
手白 球彥,HV-D02-010,3
手は前っつったでしょう ノブカツくん (我不是說了手要往前嗎，信勝同學),HV-D02-011,3
物理攻撃でブッ倒ればいいんだよね (用物理攻擊打倒就好了吧),HV-D02-012,3
孤爪 研磨,HV-P01-017,3
孤爪 研磨,HV-P01-018,3
孤爪 研磨,HV-P01-019,3
黑尾 鐵朗,HV-P01-020,3
黑尾 鐵朗,HV-P01-021,3
黑尾 鐵朗,HV-P01-022,3
夜久 衛輔,HV-P01-023,3
夜久 衛輔,HV-P01-024,3
灰羽 列夫,HV-P01-025,3
灰羽 列夫,HV-P01-026,3
海 信行,HV-P01-027,3
山本 猛虎,HV-P01-028,3
福永 招平,HV-P01-029,3
犬岡 走,HV-P01-030,3
芝山 優生,HV-P01-031,3
手白 球彥,HV-P01-032,3
日向・孤爪,HV-P01-072,3
月島・黒尾,HV-P01-073,3
猫又 育史,HV-P01-080,3
山本 あかね,HV-P01-081,3
これが繋ぐということだ,HV-P01-082,3
1stテンポの同時多発位置差攻撃,HV-P01-083,3
助走は 翔陽の翼だね,HV-P01-084,3
