卡片名稱,卡片編號,數量
日向 翔陽,HV-D01-001,0
影山 飛雄,HV-D01-002,0
月島 蛍,HV-D01-003,0
山口 忠,HV-D01-004,0
西谷 夕,HV-D01-005,0
田中 龍之介,HV-D01-006,0
縁下 力,HV-D01-007,0
澤村 大地,HV-D01-008,0
菅原 孝支,HV-D01-009,0
東峰 旭,HV-D01-010,0
バレーは!!! 常に上を向くスポーツだ (排球是!!! 永遠向上看的運動),HV-D01-011,0
ブロード攻撃 (Broad Attack / 廣域攻擊),HV-D01-012,0
日向 翔陽,HV-P01-001,0
日向 翔陽,HV-P01-002,1
日向 翔陽,HV-P01-003,0
日向 翔陽,HV-P01-004,0
影山 飛雄,HV-P01-005,0
影山 飛雄,HV-P01-006,0
影山 飛雄,HV-P01-007,2
月島 螢,HV-P01-008,0
月島 螢,HV-P01-009,0
山口 忠,HV-P01-010,0
西谷 夕,HV-P01-011,0
田中 龍之介,HV-P01-012,0
緣下 力,HV-P01-013,0
澤村 大地,HV-P01-014,0
菅原 孝支,HV-P01-015,0
東峰 旭,HV-P01-016,0
孤爪 研磨,HV-D02-001,5
黑尾 鐵朗,HV-D02-002,0
夜久 衛輔,HV-D02-003,0
灰羽 列夫,HV-D02-004,0
海 信行,HV-D02-005,0
山本 猛虎,HV-D02-006,0
福永 招平,HV-D02-007,0
犬岡 走,HV-D02-008,1
芝山 優生,HV-D02-009,0
手白 球彥,HV-D02-010,0
手は前っつったでしょう ノブカツくん (我不是說了手要往前嗎，信勝同學),HV-D02-011,0
物理攻撃でブッ倒ればいいんだよね (用物理攻擊打倒就好了吧),HV-D02-012,3
孤爪 研磨,HV-P01-017,0
孤爪 研磨,HV-P01-018,0
孤爪 研磨,HV-P01-019,0
黑尾 鐵朗,HV-P01-020,0
黑尾 鐵朗,HV-P01-021,2
黑尾 鐵朗,HV-P01-022,0
夜久 衛輔,HV-P01-023,2
夜久 衛輔,HV-P01-024,2
灰羽 列夫,HV-P01-025,0
灰羽 列夫,HV-P01-026,7
海 信行,HV-P01-027,0
山本 猛虎,HV-P01-028,0
福永 招平,HV-P01-029,0
犬岡 走,HV-P01-030,6
芝山 優生,HV-P01-031,2
手白 球彥,HV-P01-032,0
日向・孤爪,HV-P01-072,0
月島・黒尾,HV-P01-073,0
烏養 一繋,HV-P01-074,0
清水 潔子,HV-P01-075,0
加油,HV-P01-076,1
拼命向前衝,HV-P01-077,0
開放式進攻,HV-P01-078,1
我可沒有 1mm 認為光靠我一人就能獲勝,HV-P01-079,0
猫又 育史,HV-P01-080,0
山本 あかね,HV-P01-081,0
これが繋ぐということだ,HV-P01-082,2
1stテンポの同時多発位置差攻撃,HV-P01-083,0
助走は 翔陽の翼だね,HV-P01-084,1
日向 翔陽,HV-PR-001,0
影山 飛雄,HV-PR-002,0
日向 翔陽,HV-PR-003,0
日向 翔陽,HV-PR-005,2
影山 飛雄,HV-PR-004,0
