,,,,,,,
,,,,,,,
卡片名稱 (編號),數量,發球,攔網,接球,托球,攻擊,此牌組中的核心原則/定位
日向 翔陽(HV-D01-001),4,2,2,2,0,2,[攻擊終結者] 攻擊區支付 2 Guts 可讓攻擊點數變為 4 點。連段的核心攻擊手。
影山 飛雄(HV-D01-002),4,1,1,2,1,1,[攻擊發動機] 舉球區支付 2 Guts 可讓托球點數變為 3 點。為進攻提供高「進攻點數」的基礎。
月島 蛍(HV-D01-003),2,1,3,1,0,2,[戰術型攔網] 基礎攔網 3 點。對手低點數進攻時，可用 1 Guts 登場抽卡，防守同時補充手牌。
山口 忠(HV-D01-004),2,5,3,3,0,1,[發球王牌] 擁有全隊最高的 5 點 發球。用於在發球階段施加壓力。
西谷 夕(HV-D01-005),2,-,-,5,0,0,[絕對守護神] 基礎 5 點 接球。消耗 3 Guts 可將接球點數提升至 7 點 並抽 1 張卡。
田中 龍之介(HV-D01-006),4,1,2,2,1,3,[Guts 基底 / 泛用] 3 點攻擊力堪用。主要用途是作為 Guts 支付主力角色的技能成本。
縁下 力(HV-D01-007),2,2,1,2,0,3,
澤村 大地(HV-D01-008),4,3,1,5,0,2,[防守核心] 基礎 5 點 接球，無需消耗資源（Guts 或手牌）即可提供頂級防守。
菅原 孝支(HV-D01-009),4,1,1,2,2,3,
東峰 旭(HV-D01-010),4,2,2,4,0,3,
卡片名稱 (編號),建議 數量,可用階段,此牌組中的核心原則/定位,,,,
バレーは!!! 常に上を向くスポーツだ (排球是!!! 永遠向上看的運動)(HV-D01-011),4,[レシーブ] (Receive / 接球),,,,,[防守輔助/資源運轉] 核心效果是「抽 1 張卡」來補充手牌（Guts 來源）。同時增加接球點數。
ブロード攻撃 (Broad Attack / 廣域攻擊)(HV-D01-012),4,[アタック] (Attack / 攻擊),,,,,[勝利方程式] 抽 1 卡並 +1 攻擊。最重要的是限制對手下回合的攔網人數（影山給日向時）。
,,,,,,,
,40,,,,,,
