卡片類型,卡片編號,卡片名稱,稀有度,位置,發球,攔網,接球,托球,攻擊,完整技能,注釋
CHARACTER,HV-D02-001,孤爪 研磨,D,S,1,2,1,1,0,[登場][托球區] 支付2 Guts即可使用。此角色的托球點數+1，在對手的下一個回合中，每次對手的攻擊角色登場時，該角色的攻擊點數-2。,支付Guts...將此角色下方的卡片，依照指定數量放置到棄牌區。
CHARACTER,HV-D02-002,黑尾 鐵朗,D,MB,1,3,1,0,2,[登場][攔網區] 支付1 Guts即可使用。此回合中，攔網成功時，發動【ドシャット(5)】(Do-Shatto / 攔死 5)。,"支付Guts...將此中央攔網者下方的卡片，依照指定數量放置到棄牌區。
【ドシャット(N)】...此回合結束時，自己的進攻點數變為N。"
CHARACTER,HV-D02-003,夜久 衛輔,D,Li,-,-,5,0,0,[登場][接球區] 從自己的手牌中棄1張卡即可使用。此角色的接球點數+2。,棄牌...將指定的卡片，依照指定數量放置到棄牌區。
CHARACTER,HV-D02-004,灰羽 列夫,D,MB,1,2,1,0,3,當自己的攔網角色登場時，若此角色為攻擊角色，可支付2 Guts使用。將此角色作為側邊攔網者登場到自己的攔網區。（若攔網區已有「灰羽列夫」，或攔網角色已有3人，則此角色無法登場至攔網區）,支付Guts...將此角色下方的卡片，依照指定數量放置到棄牌區。
CHARACTER,HV-D02-005,海 信行,D,WS,1,2,5,0,2,-,-
CHARACTER,HV-D02-006,山本 猛虎,D,WS,5,2,2,0,3,-,-
CHARACTER,HV-D02-007,福永 招平,D,WS,1,0,4,1,3,-,-
CHARACTER,HV-D02-008,犬岡 走,D,WS,2,3,3,0,3,-,-
CHARACTER,HV-D02-009,芝山 優生,D,Li,-,-,5,0,0,[登場][接球區] 支付2 Guts即可使用。抽1張卡。,支付Guts...將此角色下方的卡片，依照指定數量放置到棄牌區。
CHARACTER,HV-D02-010,手白 球彥,D,S,4,1,4,1,0,-,-
CHARACTER,HV-P01-020,黑尾 鐵朗,秘,MB,5,2,2,0,3,-,-
CHARACTER,HV-P01-021,黑尾 鐵朗,頂,MB,2,2,3,0,1,[登場][攻擊區域] 支付3點毅力(Guts)即可使用。此角色的攻擊點數+3，並從自己的一個區域中，將2張卡片名不同的音駒毅力卡加入手牌。,-
CHARACTER,HV-P01-021,黑尾 鐵朗,頂P,MB,2,2,3,0,1,[登場][攻擊區域] 支付3點毅力(Guts)即可使用。此角色的攻擊點數+3，並從自己的一個區域中，將2張卡片名不同的音駒毅力卡加入手牌。,此卡為 HV-P01-021 的平行閃卡版本
CHARACTER,HV-P01-022,黑尾 鐵朗,S,MB,1,1,5,0,3,-,-
CHARACTER,HV-P01-073,月島・黒尾,N,"MB, MB",2,3,0,0,2,登場此卡時，將此卡的卡片名稱變更為「月島 螢」或「黒尾 鐵朗」。（登場此卡時所選擇的卡片名稱，將有效至該回合結束。此卡在計算場上角色數量時，視為1人）,"所屬：烏野1年, 音駒3年"
CHARACTER,HV-P01-017,孤爪 研磨,秘,S,2,2,2,2,1,-,-
CHARACTER,HV-P01-018,孤爪 研磨,頂P,S,1,2,0,1,1,[登場][ 托球區域] 支付3點毅力(Guts)即可使用。此角色的托球點數+1，若自己所有角色皆為音駒，可從自己的事件區域將最多1張卡片加入手牌。,此卡為 HV-P01-018 的平行閃卡版本
CHARACTER,HV-P01-018,孤爪 研磨,頂,S,1,2,0,1,1,[登場][ 托球區域] 支付3點毅力(Guts)即可使用。此角色的托球點數+1，若自己所有角色皆為音駒，可從自己的事件區域將最多1張卡片加入手牌。,-
CHARACTER,HV-P01-019,孤爪 研磨,R,S,1,1,2,1,1,當自己原本攻擊點數為3的攻擊角色登場時，若此角色為托球角色，支付2點毅力(Guts)即可使用。將自己攻擊區域的1張音駒毅力卡移至攻擊區域登場，該角色的攻擊點數+2。,-
CHARACTER,HV-P01-072,日向・孤爪,N,"MB, S",1,0,0,1,3,登場此卡時，將此卡的卡片名稱變更為「日向 翔陽」或「孤爪 研磨」。（登場此卡時所選擇的卡片名稱，將有效至該回合結束。此卡在計算場上角色數量時，視為1人）,"所屬：烏野1年, 音駒2年"
CHARACTER,HV-P01-023,夜久 衛輔,S,LI,-,-,5,0,0,在此接球角色卡之上，登場「夜久 衛輔」以外的音駒角色卡時，可將此卡丟棄。該角色的接球點數+2。,-
CHARACTER,HV-P01-023,夜久 衛輔,SP,LI,-,-,5,0,0,在此接球角色卡之上，登場「夜久 衛輔」以外的音駒角色卡時，可將此卡丟棄。該角色的接球點數+2。,-
CHARACTER,HV-P01-024,夜久 衛輔,N,LI,-,-,6,0,0,-,-
CHARACTER,HV-P01-025,灰羽 列夫,S,MB,1,3,1,0,2,"[登場][ 攻擊區域] 支付2點毅力(Guts)即可使用以下2種效果。

▶若此角色是因「孤爪 研磨」的技能登場，此角色的攻擊點數+2。

▶下一個對手回合中，每當對手的中央攔網手登場時，該角色的攔網點數-3。",-
CHARACTER,HV-P01-026,灰羽 列夫,N,MB,2,3,3,0,3,-,-
CHARACTER,HV-P01-027,海 信行,R,WS,1,0,4,1,3,-,-
CHARACTER,HV-P01-027,海 信行,RP,WS,1,0,4,1,3,-,此卡為 HV-P01-027 的平行閃卡版本
CHARACTER,HV-P01-028,山本 猛虎,N,WS,1,2,0,0,3,在此攻擊角色卡之上，「灰羽 列夫」登場時，可從自己手牌丟棄1張音駒卡片。該角色的攻擊點數+1。,-
CHARACTER,HV-P01-029,福永 招平,R,WS,1,1,5,1,0,-,-
CHARACTER,HV-P01-029,福永 招平,RP,WS,1,1,5,1,0,-,此卡為 HV-P01-029 的平行閃卡版本
CHARACTER,HV-P01-030,犬岡 走,N,WS,1,3,5,0,0,-,-
CHARACTER,HV-P01-031,芝山 優生,N,LI,-,-,4,0,0,[接球階段][ 手牌] [從手牌丟棄此卡]：自己的1名音駒角色的接球點數+2。,此技能可在接球階段中，當此卡在手牌時，於和事件卡相同的時機使用。
CHARACTER,HV-P01-032,手白 球彥,R,S,3,1,1,1,0,[登場][ 發球區域] 下一個對手回合中，對手的接球角色和托球角色的技能無效化。,-
