卡片類型,卡片編號,卡片名稱,時機點,稀有度,位置,發球,攔網,接球,托球,攻擊,完整技能,注釋
EVENT,HV-D01-011,バレーは!!! 常に上を向くスポーツだ (排球是!!! 永遠向上看的運動),接球,D,-,-,-,-,-,-,抽1張卡，自己的1名角色的接球點數+1。該角色的接球點數為4以下的場合，再+1。,
EVENT,HV-D01-012,ブロード攻撃 (Broad Attack / 廣域攻擊),攻擊,D,-,-,-,-,-,-,抽1張卡，自己的1名烏野角色的攻擊點數+1。自己的舉球角色為「影山飛雄」且攻擊角色為「日向翔陽」的場合，下個對手回合中，對手最多只能登場1名攔網角色。,
EVENT,HV-P01-074,烏養 一繋,攻擊,N,-,-,-,-,-,-,抽 1 張卡，自己的 1 名角色的攻擊點數+1。若對手的事件區中，可在 [=抽牌] 或 [=接球] 階段使用的卡片合計 5 張以上，則攻擊點數再+2。,
EVENT,HV-P01-074,烏養 一繋,攻擊,NP,-,-,-,-,-,-,抽 1 張卡，自己的 1 名角色的攻擊點數+1。若對手的事件區中，可在 [=抽牌] 或 [=接球] 階段使用的卡片合計 5 張以上，則攻擊點數再+2。,
EVENT,HV-P01-075,清水 潔子,"接球,攻擊",N,-,-,-,-,-,-,自己的 1 名烏野角色的 1 項參數+1，若在接球階段中，則抽 1 張卡。,
EVENT,HV-P01-076,加油,抽牌,N,-,-,-,-,-,-,自己的手牌在 4 張以下時，從自己的 1 個區域，將 2 張相同所屬的 Guts 加入手牌。,
EVENT,HV-P01-077,拼命向前衝,"接球,回合1",N,-,-,-,-,-,-,自己的 1 名烏野接球角色的接球點數+2，若該角色為「西谷 夕」，則抽 1 張卡。,
EVENT,HV-P01-078,開放式進攻,攻擊,S,-,-,-,-,-,-,抽 2 張卡，從自己的手牌丟棄 1 張卡。若自己的事件區中的「開放式進攻」在 2 張以下，則從自己的棄牌區將 1 張「日向 翔陽」登場到攻擊區，並使該角色的攻擊點數+1。,
EVENT,HV-P01-078,開放式進攻,攻擊,SP,-,-,-,-,-,-,抽 2 張卡，從自己的手牌丟棄 1 張卡。若自己的事件區中的「開放式進攻」在 2 張以下，則從自己的棄牌區將 1 張「日向 翔陽」登場到攻擊區，並使該角色的攻擊點數+1。,
EVENT,HV-P01-079,我可沒有 1mm 認為光靠我一人就能獲勝,攔網,N,-,-,-,-,-,-,抽 1 張卡，自己的 1 名烏野攔網角色的攔網點數+1。若該角色為「月島 螢」，則從自己的發球區將最多 1 名「山口 忠」角色加入手牌，在下一個對手的回合中，對方的接球角色每登場 1 次，該角色的接球點數-2。,
EVENT,HV-P01-079,我可沒有 1mm 認為光靠我一人就能獲勝,攔網,NP,-,-,-,-,-,-,抽 1 張卡，自己的 1 名烏野攔網角色的攔網點數+1。若該角色為「月島 螢」，則從自己的發球區將最多 1 名「山口 忠」角色加入手牌，在下一個對手的回合中，對方的接球角色每登場 1 次，該角色的接球點數-2。,
