卡片名稱,卡片編號,數量
日向 翔陽,HV-D01-001,3
影山 飛雄,HV-D01-002,3
月島 蛍,HV-D01-003,3
山口 忠,HV-D01-004,3
西谷 夕,HV-D01-005,3
田中 龍之介,HV-D01-006,3
縁下 力,HV-D01-007,3
澤村 大地,HV-D01-008,3
菅原 孝支,HV-D01-009,3
東峰 旭,HV-D01-010,3
バレーは!!! 常に上を向くスポーツだ (排球是!!! 永遠向上看的運動),HV-D01-011,3
ブロード攻撃 (Broad Attack / 廣域攻擊),HV-D01-012,3
日向 翔陽,HV-P01-001,3
日向 翔陽,HV-P01-002,3
日向 翔陽,HV-P01-003,3
日向 翔陽,HV-P01-004,3
影山 飛雄,HV-P01-005,3
影山 飛雄,HV-P01-006,3
影山 飛雄,HV-P01-007,3
月島 螢,HV-P01-008,3
月島 螢,HV-P01-009,3
山口 忠,HV-P01-010,3
西谷 夕,HV-P01-011,3
田中 龍之介,HV-P01-012,3
緣下 力,HV-P01-013,3
澤村 大地,HV-P01-014,3
菅原 孝支,HV-P01-015,3
東峰 旭,HV-P01-016,3
日向・孤爪,HV-P01-072,3
月島・黒尾,HV-P01-073,3
烏養 一繋,HV-P01-074,3
清水 潔子,HV-P01-075,3
加油,HV-P01-076,3
拼命向前衝,HV-P01-077,3
開放式進攻,HV-P01-078,3
我可沒有 1mm 認為光靠我一人就能獲勝,HV-P01-079,3
日向 翔陽,HV-PR-001,3
影山 飛雄,HV-PR-002,3
日向 翔陽,HV-PR-003,3
影山 飛雄,HV-PR-004,3
